time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
76	0.353553390593	0.353553390593	0.0	0.0	0.500045253142	cgv>kid	time205-cond1.txt
77	0.0	0.0	0.0	0.0	0.383568891339	kid>cgv	time205-cond1.txt
78	0.0	0.188982236505	0.0	0.0	0.391239811863	cgv>kid	time205-cond1.txt
79	0.0	0.0	0.0	0.0	0.398694200772	kid>cgv	time205-cond1.txt
80	0.0833333333333	0.0800640769025	0.0	0.0	0.374005607178	cgv>kid	time205-cond1.txt
81	0.0721687836487	0.138675049056	0.0	0.0	0.503757503789	kid>cgv	time205-cond1.txt
82	0.137360563949	0.212132034356	0.0	0.0640184399664	0.623888714004	cgv>kid	time205-cond1.txt
83	0.155752239495	0.21380899353	0.0	0.0	0.652096345783	kid>cgv	time205-cond1.txt
84	0.142857142857	0.142857142857	0.0	0.0	0.400591075883	cgv>kid	time205-cond1.txt
85	0.0	0.0	0.0	0.0	0.462701467444	kid>cgv	time205-cond1.txt
86	0.0	0.0	0.0	0.0	0.739647741704	cgv>kid	time205-cond1.txt
87	0.0	0.0	0.0	0.0	0.441035675604	kid>cgv	time205-cond1.txt
88	0.0953462589246	0.175411603861	0.0	0.0	0.681555395455	cgv>kid	time205-cond1.txt
89	0.0	0.0	0.150755672289	0.150755672289	0.748515508558	kid>cgv	time205-cond1.txt
90	0.0	0.140028008403	0.125	0.125	0.807521004529	cgv>kid	time205-cond1.txt
91	0.0975900072949	0.436435780472	0.0883883476483	0.176776695297	0.65541007079	kid>cgv	time205-cond1.txt
92	0.0	0.202259958739	0.0	0.0	0.464059112253	cgv>kid	time205-cond1.txt
93	0.0	0.0	0.0	0.0		kid>cgv	time205-cond1.txt
94	0.0	0.0	0.333333333333	0.333333333333		cgv>kid	time205-cond1.txt
95	0.0	0.0	0.333333333333	0.333333333333	0.797160850594	kid>cgv	time205-cond1.txt
96	0.0	0.0	0.0	0.0	0.442432278931	cgv>kid	time205-cond1.txt
97	0.527046276695	0.559430927786	0.0805822964025	0.0805822964025	0.38805899267	kid>cgv	time205-cond1.txt
98	0.0	0.0	0.142857142857	0.142857142857	0.327846734353	cgv>kid	time205-cond1.txt
99	0.0916698497028	0.0916698497028	0.0	0.0	0.52411325143	kid>cgv	time205-cond1.txt
100	0.0990147542977	0.0990147542977	0.0	0.0	0.770603650411	cgv>kid	time205-cond1.txt
101	0.141421356237	0.166666666667	0.123091490979	0.246182981959	0.756023418794	kid>cgv	time205-cond1.txt
102	0.0	0.0	0.0	0.11396057646	0.637285542092	cgv>kid	time205-cond1.txt
103	0.119522860933	0.109108945118	0.0	0.0	0.590497255075	kid>cgv	time205-cond1.txt
104	0.4	0.170251306152	0.0	0.0	0.617965807653	cgv>kid	time205-cond1.txt
0	0.0	0.218217890236	0.0	0.0	0.165883257674	kid>cgv	time195-cond1.txt
1	0.0	0.0	0.0	0.0	0.449494651767	cgv>kid	time195-cond1.txt
2	0.0	0.265165042945	0.0	0.0	0.524582000842	kid>cgv	time195-cond1.txt
3	0.0	0.0	0.0	0.0	0.486680057065	cgv>kid	time195-cond1.txt
4	0.106600358178	0.106600358178	0.0	0.0	0.40256828028	kid>cgv	time195-cond1.txt
5	0.306335832427	0.32232918561	0.0	0.0	0.735742168183	cgv>kid	time195-cond1.txt
6	0.127000127	0.133630620956	0.0	0.0	0.637824823342	kid>cgv	time195-cond1.txt
7	0.0	0.0	0.0	0.0	0.333045495005	cgv>kid	time195-cond1.txt
8	0.0	0.0	0.0	0.0	0.501916706895	kid>cgv	time195-cond1.txt
9	0.150755672289	0.150755672289	0.0	0.0	0.631938954098	cgv>kid	time195-cond1.txt
10	0.0805822964025	0.0805822964025	0.0	0.0	0.583116739558	kid>cgv	time195-cond1.txt
11	0.0	0.0	0.487950036474	0.487950036474	0.810209729963	cgv>kid	time195-cond1.txt
12	0.240771706172	0.240771706172	0.0	0.0	0.721909272243	kid>cgv	time195-cond1.txt
13	0.0	0.0	0.0	0.0	0.718424565496	cgv>kid	time195-cond1.txt
14	0.0	0.0	0.0975900072949	0.0975900072949	0.826637477958	kid>cgv	time195-cond1.txt
15	0.495073771488	0.495073771488	0.0	0.0	0.461958391394	cgv>kid	time195-cond1.txt
16	0.480384461415	0.480384461415	0.133630620956	0.133630620956	0.612590776655	kid>cgv	time195-cond1.txt
17	0.392232270276	0.392232270276	0.267261241912	0.267261241912	0.854551330419	cgv>kid	time195-cond1.txt
18	0.0	0.0909090909091	0.0	0.0	0.333599527811	kid>cgv	time195-cond1.txt
19	0.213200716356	0.213200716356	0.0	0.0	0.322255826499	cgv>kid	time195-cond1.txt
20	0.0	0.0	0.0	0.0	0.214718723891	kid>cgv	time195-cond1.txt
21	0.0	0.0	0.0	0.0	0.265631405547	cgv>kid	time195-cond1.txt
22	0.0	0.0	0.0	0.0	0.209679104638	kid>cgv	time195-cond1.txt
23	0.0	0.0	0.0	0.0	0.200146057708	cgv>kid	time195-cond1.txt
24	0.0	0.0	0.0	0.0	0.281644498448	kid>cgv	time195-cond1.txt
25	0.142857142857	0.285714285714	0.0	0.0	0.478411609223	cgv>kid	time195-cond1.txt
26	0.12598815767	0.0	0.0	0.0	0.134921198492	kid>cgv	time195-cond1.txt
27	0.0	0.0845154254729	0.0890870806375	0.166666666667	0.585904219102	cgv>kid	time195-cond1.txt
28	0.12598815767	0.276026223737	0.0	0.0	0.510770005275	kid>cgv	time195-cond1.txt
29	0.0	0.188982236505	0.0	0.0	0.625562959206	cgv>kid	time195-cond1.txt
30	0.0	0.196116135138	0.0	0.0	0.622519652064	kid>cgv	time195-cond1.txt
31	0.0	0.0	0.0	0.0		cgv>kid	time195-cond1.txt
32	0.0	0.0	0.0	0.0		kid>cgv	time195-cond1.txt
33	0.0	0.0	0.0	0.0	0.49507368567	cgv>kid	time195-cond1.txt
34	0.0	0.0	0.0	0.0	0.525514740013	kid>cgv	time195-cond1.txt
35	0.0662266178533	0.0595491334175	0.207950097964	0.207950097964	0.750377651415	cgv>kid	time195-cond1.txt
36	0.12598815767	0.0	0.0	0.0	0.577853256536	kid>cgv	time195-cond1.txt
37	0.0	0.0	0.0	0.0	0.541728036868	cgv>kid	time195-cond1.txt
38	0.0	0.0	0.0	0.0	0.548280174349	kid>cgv	time195-cond1.txt
39	0.0	0.0	0.0	0.0	0.481470648035	cgv>kid	time195-cond1.txt
40	0.154303349962	0.123091490979	0.0	0.0	0.550441646206	kid>cgv	time195-cond1.txt
41	0.32025630761	0.240192230708	0.0	0.0	0.578463058246	cgv>kid	time195-cond1.txt
42	0.0	0.0	0.0	0.0	0.383125139354	kid>cgv	time195-cond1.txt
43	0.0	0.0	0.0	0.0	0.119541946648	cgv>kid	time195-cond1.txt
44	0.0	0.0	0.0	0.0	0.119541946648	kid>cgv	time195-cond1.txt
45	0.0	0.145095250022	0.0	0.0	0.21668837989	cgv>kid	time195-cond1.txt
46	0.172061800403	0.172061800403	0.0	0.0	0.520296158679	kid>cgv	time195-cond1.txt
47	0.0	0.111803398875	0.0	0.0	0.561636045365	cgv>kid	time195-cond1.txt
48	0.0	0.1490711985	0.0	0.0	0.523615123112	kid>cgv	time195-cond1.txt
49	0.0	0.0	0.0	0.0	0.655646825156	cgv>kid	time195-cond1.txt
50	0.0	0.0	0.0	0.0	0.445341867816	kid>cgv	time195-cond1.txt
51	0.0	0.0	0.129099444874	0.12598815767	0.682441205286	cgv>kid	time195-cond1.txt
52	0.0	0.0	0.0	0.0	0.433613372893	kid>cgv	time195-cond1.txt
53	0.0	0.0	0.0	0.0	0.331665839695	cgv>kid	time195-cond1.txt
54	0.0960030721475	0.0626224291085	0.0	0.0	0.570627309611	kid>cgv	time195-cond1.txt
55	0.133630620956	0.0	0.0	0.0	0.563745814858	cgv>kid	time195-cond1.txt
